;NJE;AUA;EJU;LDA;avail
LOAN;Y;;;;OK
LOAV;Y;;;;OK
LOWG;Y;Y;;;OK
LOWK;Y;;;;OK
LOWL;Y;;;;OK
LOWS;Y;;Y;;OK
LOWI;Y;Y;Y;;OK
LOWW;Y;Y;Y;Y;OK
EBBR;Y;Y;Y;Y;NOK
EBAW;Y;;;;NOK
EBOS;Y;;;;NOK
LBSF;Y;Y;Y;Y;OK
LDRI;Y;;;;NOK
LDSU;Y;;;;NOK
LDDU;Y;;;;NOK
LDSB;Y;;;;NOK
LDLO;Y;;;;NOK
EKCH;Y;Y;Y;Y;OK
EKRN;Y;;;;NOK
EKAH;Y;;;;NOK
EKBI;Y;;;;NOK
EFHK;Y;;;;OK
LFMD;Y;;;;OK
LFMN;Y;Y;Y;Y;OK
LFPG;Y;Y;Y;Y;OK
LFPB;Y;;;;OK
LFRN;Y;;;;NOK
LFRB;Y;;;;NOK
LFKC;Y;;;;NOK
LFKB;Y;;;;NOK
LFKJ;Y;;;;NOK
EDDK;Y;;;;OK
EDDS;Y;Y;Y;Y;OK
EDFE;Y;;;;OK
EDHL;Y;;;;OK
EDJA;Y;;;;OK
EDDL;Y;Y;Y;Y;OK
EDDM;Y;Y;Y;Y;OK
EDMA;Y;;;;OK
EDNY;Y;;;;OK
EDXW;Y;;;;OK
EDHK;Y;;;;NOK
EDMO;Y;;;;NOK
EDSB;Y;;;;NOK
LGAV;Y;Y;Y;Y;NOK
LGIR;Y;Y;Y;Y;NOK
LGKO;Y;;;;NOK
LGKR;Y;;;;NOK
LGRP;Y;;;;NOK
LGSM;Y;;;;NOK
EICK;Y;;Y;;NOK
EIDW;Y;;Y;;NOK
LIEO;Y;Y;Y;Y;NOK
LIML;Y;Y;Y;Y;OK
LICC;Y;;;;NOK
LICJ;Y;;;;NOK
LILO;Y;;;;NOK
LIPB;Y;;;;NOK
LIRF;Y;Y;Y;Y;OK
LIRI;Y;;;;OK
LIRJ;Y;;;;NOK
LIRN;Y;Y;Y;Y;OK
LMML;Y;;Y;Y;NOK
EYVI;Y;;;;NOK
EHRD;Y;;;;OK
ENGM;Y;;;;NOK
EPKK;Y;Y;Y;Y;NOK
EPWA;Y;;;;NOK
LPFR;Y;;;;NOK
LPPT;Y;;;;NOK
LPMA;Y;;;;OK
LYBE;Y;Y;Y;Y;OK
LZTT;Y;;;;NOK
LJMB;Y;;;;NOK
LJPZ;Y;;;;NOK
LJLJ;Y;;;;NOK
LECO;Y;;;;NOK
LEIB;Y;;Y;Y;OK
LEMD;Y;Y;Y;Y;OK
LEPA;Y;Y;Y;Y;OK
LESU;Y;;;;NOK
LEBB;Y;;;;NOK
LEMG;Y;Y;Y;Y;NOK
LEVC;Y;Y;Y;Y;NOK
LEBL;Y;Y;Y;Y;NOK
ESSA;Y;Y;Y;Y;OK
ESGG;Y;;;;NOK
ESMS;Y;;;;NOK
ESSB;Y;;;;NOK
LSGG;Y;Y;Y;;OK
LSZH;Y;Y;Y;Y;OK
LSZR;Y;;;;OK
LSZS;Y;;;;OK
LSZA;Y;;;;OK
LTAI;Y;;;;NOK
LTFM;Y;;;;NOK
EGFF;Y;;;;OK
EGGP;Y;;;;NOK
EGKB;Y;;;;OK
EGSS;Y;;Y;Y;OK
EGTK;Y;;;;OK
EGLF;Y;;;;OK
EGJB;Y;;;;NOK
EGJJ;Y;;;;NOK
